"order_id","customer_id","payment_value"
"00010242fe8c5a6d1ba2dd792cb16214","48436dade18ac8b2bce089ec2a041202","72.19"
"00018f77f2f0320c557190d7a144bdd3","dd7ddc04e1b6c2c614352b383efe2d36","259.83"
"000229ec398224ef6ca0657da4fc703e","5b51032eddd242adc84c38acab88f23d","216.87"
"00024acbcdf0a6daa1e931b038114c75","9d7a1d34a5052409006425275ba1c2b4","25.78"
"00042b26cf59d7ce69dfabb4e55b4fd9","df560393f3a51e74553ab94004ba5c87","218.04"
"00048cc3ae777c65dbb7d2a0634bc1ea","6426d21aca402a131fc0a5d0960a3c90","34.59"
"00054e8431b9d7675808bcb819fb4a32","7040e82f899a04d1b434b795a43b4617","31.75"
"000576fe39319847cbb9d288c5617fa6","5996cddab893a4652a15592fb58ab8db","880.75"
"0005a1a1728c9d785b8e2b08b904576c","a416b6a846a11724393025641d4edd5e","157.6"
"0005f50442cb953dcd1d21e1fb923495","ba143b05f0110f0dc71ad71b4466ce92","65.39"
"00061f2a7bc09da83e415a52dc8a4af1","cc419e0650a3c5ba77189a1882b7556a","68.87"
"00063b381e2406b52ad429470734ebd5","8602a61d680a10a82cceeeda0d99ea3d","57.98"
"0006ec9db01a64e59a68b2c340bf65a7","4a3ca9315b744ce9f8e9374361493884","97.32"
"0008288aa423d2a3f00fcb17cd7d8719","1f50f920176fa81dab994f9023523100","126.54"
"0008288aa423d2a3f00fcb17cd7d8719","1f50f920176fa81dab994f9023523100","126.54"
"0009792311464db532ff765bf7b182ae","530ec6109d11eaaf87999465c6afee01","127.55"
"0009c9a17f916a706d71784483a5d643","fcb5ace8bcc92f75707dc0f01a27d269","650.34"
"000aed2e25dbad2f9ddb70584c5a2ded","fe2032dab1a61af8794248c8196565c9","152.77"
"000c3e6612759851cc3cbb4b83257986","218d46b86c1881d022bce9c68a7d4b15","112.71"
"000e562887b1f2006d75e0be9558292e","8cbac7e12637ed9cffa18c7875207478","41.11"
"000e63d38ae8c00bbcb5a30573b99628","1c129092bf23f28a5930387c980c0dfc","56.78"
"000e906b789b55f64edcb1f84030f90d","ea8482cd71df3c1969d7b9473ff13abc","33.84"
"000f25f4d72195062c040b12dce9a18a","7c67e1448b00f6e969d365cea6b010ab","164.39"
"001021efaa8636c29475e7734483457d","6560211a19b47992c3666cc44a7e94c0","64.1"
"0010b2e5201cc5f1ae7e9c6cc8f5bd00","3504c0cb71d7fa48d967e0e4c94d59d9","65.5"
"00119ff934e539cf26f92b9ef0cdfed8","c864036feaab8c1659f65ea4faebe1da","236.88"
"0011d82c4b53e22e84023405fb467e57","bfd27a966d91cfaafdb25d076585f0da","315.33"
"00125cb692d04887809806618a2a145f","41b39e28db005d9731d9d485a83b4c38","135.41"
